"comment_id","post_id","comment_author","comment_author_ip_hash","comment_date_jst","comment_date_gmt","comment_content","comment_parent","uuid"
"7672","16248","名無し","133.32.129.56","2023-01-20 17:15:52+00","2023-01-20 08:15:52+00","先生は楽出来たと喜んだと思う","0","bc3f2f61-d759-48f6-ba2e-252ffbde7d01"
"7673","16248","名無し","133.32.129.56","2023-01-20 16:18:22+00","2023-01-20 07:18:22+00","なろうの読み過ぎだと思います","0","35b0d0fc-e37e-442c-a686-21b9e5257834"
"7674","16248","名無し","133.32.129.56","2023-01-19 16:43:15+00","2023-01-19 07:43:15+00","このコメ欄まで含めて健エミュ事例として学ぶべきですね(笑)","0","9ea6d307-1666-41c7-bb93-fba6c7630355"
"7675","16248","名無し","133.32.129.56","2023-01-18 12:56:21+00","2023-01-18 03:56:21+00","ﾁｬﾝﾁｬｶﾁｬﾝﾁｬﾝﾁｬﾁｬﾝﾁｬﾁｬﾝﾁｬﾝ　ﾁｬﾝﾁｬｶﾁｬﾝﾁｬﾝﾁｬﾁｬﾝﾁｬﾁｬﾝﾁｬﾝ\n健常者エミュ失敗例かと思ったら〜〜\n自慢でした〜\nチクショ―――――――！！！！","0","36fa4502-7a49-44d6-89d3-143bdde46c6e"
"7676","16248","名無し","133.32.129.56","2023-01-17 23:53:37+00","2023-01-17 14:53:37+00","プログラミングの教科書は理解できたものの正しい健常者エミュレートに失敗した健常者エミュレート失敗事例","0","802242e4-536f-4bc0-bd89-2244572f7fc9"
"7677","16248","名無し","133.32.129.56","2023-01-17 23:31:15+00","2023-01-17 14:31:15+00","「1か月弱で全て理解」→してもよい、むしろ誇るべき\n「教師が間違いをするたびに指摘」→すべきではない（ただし教師があまりにも壊滅的であれば話は別で、本件読む限り正しい行動だったと思われる）","0","03c79890-9fa1-4951-9e4e-5b4586b41b8f"
"7678","16248","名無し","133.32.129.56","2023-01-17 23:22:57+00","2023-01-17 14:22:57+00","かっけえ\n俺もこんな優等生になりたいなぁ！！！！😂😂","0","7dea0124-8afe-4f30-a877-128a7244622e"
"7679","16248","名無し","133.32.129.56","2023-01-17 23:09:50+00","2023-01-17 14:09:50+00","何の参考にもならんし、自慢は他所でやってくれ\n説明も成り立ってないし","0","fd2a2e02-fe18-41a4-a914-7e97d7da9ea0"
"7680","16248","名無し","133.32.129.56","2023-01-17 22:43:42+00","2023-01-17 13:43:42+00","3年間で学ぶ内容を「面白いから」といって、1か月弱で終わらせてはいけない ということの説明になっていますか？","0","157aee0d-c25b-4d79-8f75-be481ef3af73"
"7681","16248","名無し","133.32.129.56","2023-01-17 22:31:18+00","2023-01-17 13:31:18+00","人に説明するとより深く覚えるしいい勉強にもなったと思う","0","72275505-57f3-4144-9162-5aa680cb3eb6"
